127.0.0.1 - - [01/May/2021:15:48:52 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:10 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:11 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:12 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/footer/css/style.css HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/header/v1/css/style.css HTTP/1.1" 200 2627
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/css/style.css HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team3.png HTTP/1.1" 200 61630
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team2.png HTTP/1.1" 200 84098
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/assets/team1.png HTTP/1.1" 200 70224
0:0:0:0:0:0:0:1 - - [01/May/2021:15:54:13 -0300] "GET /CapRat/www/common/company/cadastro-vaga/cadastro-vaga.jsp HTTP/1.1" 200 9777
